Order ID,Date,Status,Fulfilment,ship-service-level,Category,Amount,ship-state,SKU
ORD-0001448,04-09-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Home,741.34,West,HOM-0001
ORD-0011404,07-25-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Apparel,243.48,North,APP-0001
ORD-0002288,05-09-25,Shipped,platform_fulfilled,Standard,Beauty,1202.27,South,BEA-0001
ORD-0012950,03-22-25,Shipped,platform_fulfilled,Standard,Sports,1315.49,West,SPO-0001
ORD-0011085,03-10-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Electronics,2386.89,South,ELE-0001
ORD-0011831,01-05-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Apparel,401.85,North,APP-0005
ORD-0010192,12-31-25,Shipped - Delivered to Buyer,third_party_fulfilled,Expedited,Apparel,577.4,Central,APP-0001
ORD-0016824,08-30-25,Shipped - Rejected by Buyer,platform_fulfilled,Expedited,Sports,793.11,North,SPO-0001
ORD-0023733,01-03-25,Shipped,platform_fulfilled,Economy,Beauty,858.48,West,BEA-0005
ORD-0017111,12-27-25,Shipped,merchant_fulfilled,Expedited,Home,1493.36,Central,HOM-0001
ORD-0023871,07-18-25,Shipped - Returned to seller,platform_fulfilled,Standard,Home,2842.93,Central,HOM-0001
ORD-0006072,11-29-25,Shipped,platform_fulfilled,Standard,Apparel,1093.93,South,APP-0002
ORD-0011578,06-16-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,3043.69,Central,APP-0001
ORD-0019867,05-22-25,Shipped - Rejected by Buyer,merchant_fulfilled,Standard,Sports,860.96,North,SPO-0001
ORD-0017452,06-15-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Apparel,688.1,Central,APP-0001
ORD-0019467,02-12-25,Shipped,merchant_fulfilled,Standard,Apparel,373.33,North,APP-0001
ORD-0009550,07-28-25,Shipped - Rejected by Buyer,third_party_fulfilled,Standard,Apparel,591.57,East,APP-0001
ORD-0023451,05-20-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Beauty,381.04,South,BEA-0017
ORD-0007992,04-08-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Books,292.87,South,BOO-0001
ORD-0014488,02-18-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Beauty,460.34,East,BEA-0002
ORD-0020159,10-09-25,Shipped - Returned to seller,third_party_fulfilled,Expedited,Electronics,3866.21,North,ELE-0001
ORD-0002626,03-21-25,Shipped,platform_fulfilled,Standard,Electronics,1506.33,Central,ELE-0001
ORD-0001641,09-23-25,Shipped,platform_fulfilled,Economy,Beauty,197.39,East,BEA-0140
ORD-0003966,06-19-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Apparel,1622.88,North,APP-0021
ORD-0016130,07-27-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Electronics,1364.11,Central,ELE-0001
ORD-0014909,01-20-25,Shipped - Returned to seller,merchant_fulfilled,Standard,Electronics,3140.93,Central,ELE-0002
ORD-0011089,08-16-25,Shipped - Rejected by Buyer,merchant_fulfilled,Standard,Sports,677.28,South,SPO-0001
ORD-0003832,04-12-25,Shipped - Delivered to Buyer,merchant_fulfilled,Economy,Home,1458.61,South,HOM-0002
ORD-0000049,02-20-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Beauty,333.91,South,BEA-0022
ORD-0012018,10-27-25,Shipped - Returned to seller,merchant_fulfilled,Expedited,Sports,464.18,East,SPO-0001
ORD-0019132,07-07-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Sports,844.09,Central,SPO-0001
ORD-0002913,04-11-25,Shipped,third_party_fulfilled,Standard,Home,1640.3,West,HOM-0001
ORD-0009335,11-11-25,Shipped - Returned to seller,third_party_fulfilled,Expedited,Home,689.84,Central,HOM-0001
ORD-0019169,11-22-25,Shipped,platform_fulfilled,Standard,Sports,2347.79,North,SPO-0003
ORD-0004161,02-04-25,Shipped,platform_fulfilled,Standard,Home,456.88,Central,HOM-0003
ORD-0023919,10-31-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Apparel,824.17,East,APP-0001
ORD-0004211,12-26-25,Shipped,platform_fulfilled,Economy,Beauty,351.13,East,BEA-0005
ORD-0008723,06-27-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Beauty,215.82,North,BEA-0003
ORD-0014596,06-13-25,Shipped - Delivered to Buyer,platform_fulfilled,Standard,Home,469.36,East,HOM-0004
ORD-0003834,10-20-25,Shipped,merchant_fulfilled,Standard,Electronics,3164.26,East,ELE-0105
ORD-0012472,08-21-25,Shipped,platform_fulfilled,Standard,Apparel,808.43,Central,APP-0003
ORD-0007945,07-01-25,Shipped - Returned to seller,platform_fulfilled,Standard,Home,1457.6,South,HOM-0002
ORD-0004714,01-09-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Sports,2214.86,Central,SPO-0001
ORD-0020130,03-08-25,Shipped,third_party_fulfilled,Economy,Apparel,561.65,Central,APP-0002
ORD-0000255,05-11-25,Shipped - Returned to seller,platform_fulfilled,Standard,Apparel,796.46,Central,APP-0009
ORD-0005968,04-05-25,Shipped,merchant_fulfilled,Standard,Apparel,1187.44,Central,APP-0001
ORD-0009947,04-24-25,Shipped - Delivered to Buyer,merchant_fulfilled,Expedited,Beauty,938.53,North,BEA-0001
ORD-0003766,09-05-25,Shipped,merchant_fulfilled,Standard,Beauty,277.13,North,BEA-0004
ORD-0015854,12-12-25,Shipped,platform_fulfilled,Standard,Electronics,3128.36,Central,ELE-0037
ORD-0021312,10-23-25,Shipped - Rejected by Buyer,third_party_fulfilled,Expedited,Sports,856.81,East,SPO-0001
ORD-0013973,08-22-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,826.89,East,APP-0001
ORD-0017932,04-16-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Electronics,2069.3,North,ELE-0001
ORD-0010259,11-03-25,Shipped,third_party_fulfilled,Economy,Electronics,667.87,West,ELE-0003
ORD-0011301,08-16-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Home,1855.27,Central,HOM-0002
ORD-0014647,06-02-25,Shipped - Delivered to Buyer,third_party_fulfilled,Standard,Apparel,1109.22,West,APP-0001
ORD-0004242,10-22-25,Shipped,platform_fulfilled,Standard,Sports,2345.08,East,SPO-0019
ORD-0006542,09-08-25,Shipped - Rejected by Buyer,platform_fulfilled,Standard,Apparel,901.53,South,APP-0001
ORD-0012358,03-19-25,Shipped,platform_fulfilled,Standard,Apparel,1445.43,North,APP-0002
ORD-0009667,10-17-25,Shipped - Delivered to Buyer,platform_fulfilled,Expedited,Books,263.39,Central,BOO-0002
ORD-0017159,09-27-25,Shipped - Delivered to Buyer,merchant_fulfilled,Standard,Books,327.87,Central,BOO-0001
ORD-0013347,10-08-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Sports,2036.19,South,SPO-0001
ORD-0008282,10-30-25,Shipped,merchant_fulfilled,Expedited,Home,508.6,North,HOM-0140
ORD-0008203,12-26-25,Shipped - Delivered to Buyer,platform_fulfilled,Economy,Apparel,341.15,North,APP-0001
ORD-0023581,02-19-25,Shipped - Returned to seller,platform_fulfilled,Expedited,Apparel,624.6,North,APP-0001
ORD-0020403,05-03-25,Shipped - Delivered to Buyer,merchant_fulfilled,Expedited,Apparel,1127.34,East,APP-0001
