order_id,order_date,amount,product_id,customer_id,category,region,fulfilment_method,shipping_service,payment_status,return_event,return_date,refund_event,chargeback_event
ORD-0000499,2025-01-01 00:00:00,1482.88,ELE-0026,CUST-01784,Electronics,North,platform_fulfilled,Standard,paid,False,,False,False
ORD-0023154,2025-01-01 00:00:00,694.16,SPO-0058,CUST-00523,Sports,South,platform_fulfilled,Expedited,cod,True,1737417600000000000,True,False
ORD-0001593,2025-01-01 01:00:00,124.09,BOO-0001,CUST-01175,Books,West,platform_fulfilled,Standard,paid,False,,False,False
ORD-0006745,2025-01-01 01:00:00,671.65,APP-0002,CUST-01267,Apparel,East,platform_fulfilled,Standard,cod,True,1736730000000000000,True,False
ORD-0004642,2025-01-01 02:00:00,336.13,APP-0001,CUST-01676,Apparel,West,platform_fulfilled,Economy,paid,False,,False,False
ORD-0001501,2025-01-01 02:00:00,1145.82,HOM-0009,CUST-00114,Home,East,third_party_fulfilled,Standard,paid,True,1736733600000000000,True,False
ORD-0010793,2025-01-01 02:00:00,4781.73,HOM-0003,CUST-00551,Home,South,third_party_fulfilled,Expedited,paid,True,1736301600000000000,True,False
ORD-0010908,2025-01-01 02:00:00,627.8,APP-0002,CUST-01732,Apparel,North,merchant_fulfilled,Expedited,paid,True,1736992800000000000,True,False
ORD-0015894,2025-01-01 02:00:00,348.31,BEA-0001,CUST-01993,Beauty,East,third_party_fulfilled,Economy,paid,True,1737252000000000000,True,False
ORD-0016511,2025-01-01 02:00:00,415.19,APP-0001,CUST-01120,Apparel,Central,merchant_fulfilled,Standard,paid,True,1736128800000000000,False,False
ORD-0016689,2025-01-01 02:00:00,2856.82,HOM-0007,CUST-01752,Home,South,merchant_fulfilled,Expedited,cod,True,1736215200000000000,True,False
ORD-0004217,2025-01-01 04:00:00,667.83,HOM-0002,CUST-01435,Home,North,third_party_fulfilled,Economy,paid,False,,False,False
ORD-0011335,2025-01-01 04:00:00,1048.28,APP-0002,CUST-01031,Apparel,North,platform_fulfilled,Standard,paid,True,1736913600000000000,False,False
ORD-0005474,2025-01-01 04:00:00,751.16,APP-0006,CUST-00635,Apparel,East,third_party_fulfilled,Economy,cod,False,,False,False
ORD-0014047,2025-01-01 04:00:00,147.88,BOO-0001,CUST-00861,Books,Central,platform_fulfilled,Standard,paid,False,,False,False
ORD-0009863,2025-01-01 06:00:00,991.03,APP-0009,CUST-01284,Apparel,East,platform_fulfilled,Expedited,cod,False,,False,False
ORD-0012631,2025-01-01 06:00:00,1115.41,ELE-0001,CUST-00380,Electronics,North,third_party_fulfilled,Economy,paid,True,1737439200000000000,True,False
ORD-0005362,2025-01-01 07:00:00,610.55,APP-0001,CUST-00802,Apparel,South,merchant_fulfilled,Expedited,paid,True,1736665200000000000,False,False
ORD-0018131,2025-01-01 07:00:00,613.35,HOM-0001,CUST-01817,Home,East,platform_fulfilled,Economy,paid,False,,False,False
ORD-0021540,2025-01-01 07:00:00,3390.46,APP-0002,CUST-00657,Apparel,South,platform_fulfilled,Economy,paid,True,1736319600000000000,False,False
ORD-0012490,2025-01-01 07:00:00,840.32,APP-0001,CUST-01914,Apparel,Central,third_party_fulfilled,Standard,paid,False,,False,False
